Entity Id,Risk Taker Group Name,Risk Taker Name,Facility Id,Facility Type,Limit Id,Limit Type,Product,Risk Type,Currency,Exposure Amount,Total Current Limit,Total Approved Limit
19515110,ICIB - SA - Financial Products,IBL Treasury Financial Products,103851,P,2094688,BS,CDS CPY RISK,ELR,ZAR,0,0,0
19515110,ICIB - SA - Financial Products,IBL Treasury Financial Products,629348,P,4004926,BS,BOND DVP,ELR,ZAR,0,1000000,1000000
19515110,ICIB - SA,IBL Treasury,103846,P,1992252,BS,BASE,SR,USD,0,30000000,30000000
19515110,ICIB - SA,IBL Treasury,103846,P,1992253,BS,BASE,ELR,USD,0,0,0
19515110,ICIB - SA,IBL Treasury,103846,P,2079190,BS,BASE,TENOR,MTH,0,12,12
19515110,ICIB - SA,IBL Treasury,103846,P,2265157,BS,BASE,NR,USD,0,75000000,75000000
18197044,ICIB - SA,IBL Treasury,103847,P,1984097,BS,BOND BSBACK,ELR,ZAR,4500000,199000000,199000000
18197044,ICIB - SA,IBL Treasury,103851,P,57878828,BS,CDS CPY RISK,NR,ZAR,0,50000000,50000000
18197044,ICIB - SA,IBL Treasury,103851,P,57878829,BS,CDS CPY RISK,TENOR,YRS,0,6,6
18197044,ICIB - SA,IBL Treasury,103852,P,2000412,BS,CSA,THRESHOLD,ZAR,0,1,1
18197044,ICIB - SA,IBL Treasury,103853,P,1984099,BS,EQUITY,ELR,ZAR,0,0,0
18197044,ICIB - SA,IBL Treasury,103853,P,2048753,BS,EQUITY,PREMIUM,ZAR,0,0,0
18197044,ICIB - SA,IBL Treasury,103854,P,1988138,BS,FOREX,SR,USD,0,100000000,100000000
18197044,ICIB - SA,IBL Treasury,103854,P,1992256,BS,FOREX,ELR,USD,0,0,0
18197044,ICIB - SA,IBL Treasury,103854,P,2048754,BS,FOREX,NR,USD,139593699.02,350900000,350900000
18197044,ICIB - SA,IBL Treasury,103854,P,48618622,BS,FOREX,TENOR,YRS,0,2,2
19004830,ICIB - SA,IBL Treasury,103855,P,1992257,BS,FOREX DERIV,ELR,USD,0,0,0
19004830,ICIB - SA,IBL Treasury,103855,P,48618620,BS,FOREX DERIV,NR,USD,32496301.8,17500000,17500000
19004830,ICIB - SA,IBL Treasury,103855,P,48618621,BS,FOREX DERIV,TENOR,YRS,0,10,10
19004830,ICIB - SA,IBL Treasury,103857,P,2089180,BS,GUARANTEE,ELR,ZAR,0,10000000,10000000
19004830,ICIB - SA,IBL Treasury,103858,P,1979948,BS,INT TRADE,ELR,ZAR,0,0,0
19004830,ICIB - SA,IBL Treasury,103858,P,1992259,BS,INT TRADE,PREMIUM,ZAR,0,4000000,4000000
19004830,ICIB - SA,IBL Treasury,103858,P,2265414,BS,INT TRADE,NR,ZAR,21252915125.41,4478600000,4478600000
19004830,ICIB - SA,IBL Treasury,103858,P,2265416,BS,INT TRADE,TENOR,YRS,0,12,12
19004830,ICIB - SA,IBL Treasury,103859,P,1988141,BS,PRECIOUS,SR,USD,0,30000000,30000000
19004830,ICIB - SA,IBL Treasury,103859,P,1992260,BS,PRECIOUS,ELR,USD,0,0,0
19004830,ICIB - SA,IBL Treasury,103859,P,2265200,BS,PRECIOUS,NR,USD,0,150000000,150000000
19004830,ICIB - SA,IBL Treasury,103859,P,48618619,BS,PRECIOUS,TENOR,MTH,0,12,12
19004830,ICIB - SA,IBL Treasury,335849,P,2614333,BS,BOND BSBACK,ELR,USD,0,0,0
19004830,ICIB - SA,IBL Treasury,337049,P,2616463,BS,FX_BOND_REPO,ELR,USD,0,11000000,11000000
19004830,ICIB - SA,IBL Treasury,337049,P,2616464,BS,FX_BOND_REPO,NR,USD,0,0,0
19004830,ICIB - SA,IBL Treasury,337049,P,2616465,BS,FX_BOND_REPO,SR,USD,0,0,0
19004830,ICIB - SA,IBL Treasury,750398,F,48618312,ACL,CBI,P_PFE,ZAR,72139024,202000000,202000000
19515110,ICIB - SA - Balance Sheet Funding,11050 Treasury BSF,0,L,0,CCL,LOAN_TERM_BS,P_ELR_CPY,ZAR,2628200000,0,0
19515110,ICIB - SA - Balance Sheet Funding,IBL Treasury Balance Sheet Funding,103849,P,1988137,BS,BOND HELD,ELR,EUR,0,256000000,256000000
19515110,ICIB - SA - Balance Sheet Funding,IBL Treasury Balance Sheet Funding,103850,P,1992255,BS,CD,ELR,ZAR,0,1607100000,1607100000
19515110,ICIB - SA - Balance Sheet Funding,IBL Treasury Balance Sheet Funding,103866,P,1992261,BS,BSE_LENDING,ELR,ZAR,2527623745.2,6500000000,6500000000
19515110,ICIB - SA - Balance Sheet Funding,IBL Treasury Balance Sheet Funding,103867,P,1988142,BS,NBSE_LENDING,ELR,USD,0,15000000,15000000
19515110,ICIB - SA - Balance Sheet Funding,IBL Treasury Balance Sheet Funding,346509,P,2689334,BS,BOND HELD,ELR,ZAR,0,0,0
19515110,ICIB - SA - Scrip Lending,IBL-TSFSL IBL Treasury Script Lending,632019,P,2004397,BS,STOCK LEND,ELR,ZAR,421847838.08,500000000,500000000
19515110,ICIB - SA - Scrip Lending,IBL-TSFSL IBL Treasury Script Lending,632019,P,17400469,BS,STOCK LEND,NR,ZAR,825813450.69,2500000000,2500000000
19515110,ICIB - SA - Interest Rate Trading,IBL-TSFINT IBL Treasury Interest Rate,103848,P,1984098,BS,BOND DVP,ELR,ZAR,35406.49,2000000,2000000
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,9075090,BS,ENERGY,BOE,CHF,0,0,0
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,9075091,BS,ENERGY,ELR,CHF,0,0,0
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,9075092,BS,ENERGY,NR,CHF,0,0,10
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,9075093,BS,ENERGY,MTM,CHF,0,0,0
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,9075094,BS,ENERGY,TENOR,DAY,0,0,0
20152544,Corporate Institutional Banking Group,LTPDSALES TPD Sales,645175,P,62392467,BS,ENERGY,VAR,CHF,0,0,0
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,1979958,BS,ALL FX,ELR,GBP,0,2000000,2000000
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,1988146,BS,ALL FX,SR,GBP,0,20000000,20000000
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,2000415,BS,ALL FX,BOE,GBP,0,2000000,2000000
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,2000416,BS,ALL FX,NR,GBP,0,20000000,20000000
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,2048781,BS,ALL FX,MTM,GBP,0,0,0
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,2079188,BS,ALL FX,TENOR,DAY,0,2,2
20152544,Corporate Institutional Banking Group,LTPDTRAD TPD Trading,103864,P,2209165,BS,ALL FX,VAR,GBP,0,2000000,2000000
